exchange,market,best bid (USD),bid depth (EOS), best ask (USD),ask depth (EOS), market price (USD),total depth (EOS)
bitfinex,EOS/USD,5.8904,289.97196768,5.8935,420.382,5.892234556093571,710.35396768
bitfinex2,EOS/USD,5.8907,317.67689603,5.8933,3204.54205,5.893065500117303,3522.21894603
bitsane,EOS/USD,5.7961,0.00133134,6.0587,1.31975097,6.058435361013198,1.32108231
coinbaseprime,EOS/USD,5.893,66.0,5.9,66.0,5.8965,132.0
coinbasepro,EOS/USD,5.893,66.0,5.9,66.0,5.8965,132.0
dsx,EOS/USD,5.5584,24.211,5.8895,5.654,5.621083388581951,29.865
exmo,EOS/USD,5.88000001,1139.24,5.92927911,4.543874,5.880195779521082,1143.783874
gdax,EOS/USD,5.891,126.0,5.901,130.0,5.896078125,256.0
independentreserve,EOS/USD,5.8526,378.618,5.9959,62.187,5.872816188790962,440.805
kraken,EOS/USD,5.893,252.667,5.9009,84.843,5.894985895825309,337.51
livecoin,EOS/USD,5.81502,1.71968454,6.23267,0.64297617,5.9286795687497165,2.36266071
lykke,EOS/USD,5.3,1.0,6.3,1.0,5.8,2.0
okcoinusd,EOS/USD,5.893,479.0149,5.905,49.0,5.894113604938042,528.0149
okex,EOS/USD,5.898,1632.0,5.899,180.0,5.898099337748344,1812.0
yobit,EOS/USD,5.02085376,2.95766431,5.26150245,2.61047792,5.133675607175036,5.56814223
