exchange,market,best bid (USD),bid depth (ETH), best ask (USD),ask depth (ETH), market price (USD),total depth (ETH)
bitbay,ETH/USD,243.99,0.06438206,269.45,0.03396232,252.78237499082306,0.09834438000000001
bitfinex,ETH/USD,242.05,222.75845544,242.07,18.86867482,242.05156180101136,241.62713026
bitfinex2,ETH/USD,242.06,6.585320899999999,242.07,5,242.0643158062199,11.5853209
bitlish,ETH/USD,241.93,2717.6987,244.83,1.523,241.93162425152758,2719.2217
bitmex,ETH/USD,242.6,303054,242.65,264477,242.62330066551428,567531
bitsane,ETH/USD,239.13,4.93882707,246.356,0.01097894,239.14602766255476,4.9498060100000005
bitstamp,ETH/USD,241.93,0.10622843,242.17,10.0,242.16747731575862,10.10622843
bittrex,ETH/USD,242.09,0.22773549,242.483,0.38283421,242.3364155108418,0.6105697
btcalpha,ETH/USD,236.81,0.001634,240.73,0.70215694,240.72089888824084,0.70379094
cex,ETH/USD,243.66,0.329481,244.6,1.132498,244.38815554806195,1.461979
coinbaseprime,ETH/USD,241.99,161.07675104,242.0,982.81989915,241.9985918592295,1143.89665019
coinbasepro,ETH/USD,241.99,161.08675104,242.0,980.9081387,241.9985894266911,1141.99488974
crex24,ETH/USD,234.6,0.0294,244.3,0.0417,240.28902953586498,0.0711
dsx,ETH/USD,241.0664,10.0,242.08461,12.0134,241.62206900224407,22.0134
ethfinex,ETH/USD,242.07,8.31,242.08,0.13847462,242.07016390487777,8.44847462
exmo,ETH/USD,242.04122823,2.13465,243.42315565,2.15194,242.73497894844866,4.28659
gdax,ETH/USD,242.19,0.59,242.25,4.0,242.24228758169937,4.59
gemini,ETH/USD,242.22,4.0,242.34,28.8968,242.32540891515285,32.8968
independentreserve,ETH/USD,239.64,11.596,244.24,8.2866,241.55717179845695,19.8826
kraken,ETH/USD,242.31,22.348,242.34,4.0,242.3145544253833,26.348
liquid,ETH/USD,242.36882,40.0,242.7213,5.262,242.4097980778578,45.262
livecoin,ETH/USD,245.001,0.40742822,248.2,0.7919,247.1132558927197,1.19932822
lykke,ETH/USD,241.19424,0.01,243.16731,0.01,242.180775,0.02
okcoinusd,ETH/USD,242.03,27.0263,242.51,5.0418,242.1054663980716,32.0681
okex,ETH/USD,242.533,436.0,242.63,157.0,242.55868128161885,593.0
qryptos,ETH/USD,242.29213,40.0,242.71836,10.12453,242.3782231448514,50.12453
quoinex,ETH/USD,242.29213,40.0,242.71691,14.1533,242.40314888110237,54.1533
rightbtc,ETH/USD,241.51,25.78,244.0,0.65,241.57123723042,26.43
southxchange,ETH/USD,241.5985,0.01636863,247.1411,0.01636863,244.3698,0.03273726
yobit,ETH/USD,244.35898512,0.00334708,246.359997,1.69896116,246.35606260863307,1.70230824
