exchange,market,best bid (USD),bid depth (ZEC), best ask (USD),ask depth (ZEC), market price (USD),total depth (ZEC)
bitfinex,ZEC/USD,70.226,3.0,70.3,5.45163356,70.2737328886275,8.451633560000001
bitfinex2,ZEC/USD,70.231,13,70.3,5.45163356,70.25138641805977,18.45163356
bittrex,ZEC/USD,69.947,53.058,70.3,0.25277805,69.94867378258044,53.31077805
cex,ZEC/USD,71.01,0.6,72.1,1.0,71.69124999999998,1.6
exmo,ZEC/USD,70.26449131,0.2510761,70.67487753,2.39279445,70.63590505776178,2.64387055
gemini,ZEC/USD,70.13,15.246979,70.43,23.666979,70.31245622046465,38.913958
kraken,ZEC/USD,70.14,23.668,70.45,24.206,70.29674186405983,47.873999999999995
livecoin,ZEC/USD,68.60072,0.15280261,77.44433,0.07802377,71.59003080845135,0.23082638
lykke,ZEC/USD,66.41812,0.005,76.99999,0.005,71.70905499999999,0.01
okcoinusd,ZEC/USD,70.18,7.674841,70.36,28.412925,70.3217191216547,36.087766
yobit,ZEC/USD,70.08100108,0.06556883,73.96078599,0.0882224,72.30664123024773,0.15379123
