currency,ticker,marketcap ($),marketprice ($)
Bitcoin,BTC,139050489338.6388,7412.138804249758
Ethereum,ETH,25969158398.311794,242.61694695474853
XRP,XRP,16005757639.402655,0.3751141062125148
Bitcoin Cash,BCH,7043517067.146977,390.6266758255244
Litecoin,LTC,5496721039.976775,88.32434667623316
EOS,EOS,5463687385.140359,5.890363335054009
Tether,USDT,2983843245.6514688,0.9701759503125164
Stellar,XLM,2433754660.7897387,0.12331753110837364
Cardano,ADA,2043837702.6895998,0.07758518251543789
TRON,TRX,1818549114.5636456,0.026653105591583296
Bitcoin SV,BSV,1804907737.6542764,100.88834451192588
Monero,XMR,1440115363.6492448,77.99283510303864
Dash,DASH,1352165683.884414,152.61888279443056
Tezos,XTZ,1056016657.3599968,1.578431670974027
Cosmos,ATOM,803503439.1648133,4.171640396214117
Ethereum Classic,ETC,779033810.986162,6.967811650003834
NEO,NEO,739008682.555,11.255434238229244
NEM,XEM,713947103.5390726,0.07821489417804714
Maker,MKR,656761464.546,644.039716632809
Ontology,ONT,648593042.442383,627.3063782278961
Zcash,ZEC,469952961.33344734,70.22778362574051
Chainlink,LINK,455393257.24549997,1.1685413138461949
Basic Attention Token,BAT,433239571.38900524,0.3429093633145173
Bitcoin Gold,BTG,419967671.2841796,22.67035848980948
VeChain,VET,408932978.2405196,0.007288867407188062
USD Coin,USDC,359839393.2905515,1.004968782045107
Dogecoin,DOGE,351715432.69842666,0.002928552821645251
